train_loss,train_cls_loss,train_reg_loss,train_accuracy,test_loss,test_cls_acc,test_reg_mse,test_accuracy
3073.647390654593,354.8315711743904,2718.8158439867425,0.8595676470699808,30.748317241302196,0.8919543773119606,29.856362863990235,0.8919543773119606
2817.9167240027227,263.93885456431997,2553.977860884233,0.8911085166607964,30.755491527186624,0.8919543773119606,29.863537149874663,0.8919543773119606
2770.466094045928,216.6201084021366,2553.845984256629,0.8912490608368406,30.744637686665595,0.8919543773119606,29.852683309353633,0.8919543773119606
2726.4306363192472,172.97209132801402,2553.4585404829545,0.9127317180865524,30.79247268653776,0.9407367447595562,29.851735941778205,0.9407367447595562
2707.8955716219816,154.62294630570844,2553.2726255474668,0.9355797079749242,30.78896479386942,0.93827065351418,29.85069414035524,0.93827065351418
2701.3376779267282,148.10385270552203,2553.2338367808948,0.939122700525766,30.794120012510078,0.9438964241676943,29.850223588342384,0.9438964241676943
2696.9274439956203,143.78163516882694,2553.145817612157,0.9418274873835526,30.79383372226255,0.9438193588162762,29.850014363446274,0.9438193588162762
2692.291110876835,139.16664828676167,2553.1244728781962,0.9444756051671496,30.79817802534989,0.9482891491985204,29.849888876151372,0.9482891491985204
2688.8040235114822,135.66170328313655,2553.1423191879735,0.9467219710905611,30.79841127569052,0.9486744759556104,29.84973679973491,0.9486744759556104
2686.8368030894885,133.74760806921756,2553.089201031309,0.946454777935737,30.79971064728452,0.9500616522811344,29.849648995003385,0.9500616522811344
2685.3051443388968,132.20984534061316,2553.0953091708097,0.9476368222140602,30.80086252822722,0.9512946979038225,29.849567830323398,0.9512946979038225
2682.615008729877,129.53132860588306,2553.0836755001183,0.9484325876195855,30.801883104125842,0.9523736128236745,29.849509491302168,0.9523736128236745
2681.9498420484138,128.85793859308416,2553.0918986002603,0.9490765698971153,30.801979358403255,0.9525277435265105,29.849451614876745,0.9525277435265105
