Functional Group,Data Points,pKa_Min,pKa_Max,pKa_Range,pKa_Mean,pKa_Median,pKa_StdDev
COOH,893,0.6,6.95,6.3500000000000005,3.5062374020156772,3.33,1.0734063985200777
PrimaryAmine,509,7.01,11.62,4.609999999999999,8.84147347740668,8.41,1.1906003792410818
Pyridine,212,2.8,8.41,5.61,4.868207547169811,5.005,1.0667662271272307
Phenol,187,0.1,10.5,10.4,8.346898395721924,9.15,2.3427058274471095
SecondaryAmine,126,7.07,14.2,7.129999999999999,9.535396825396825,9.58,1.3684295545274545
Aniline,67,3.0,5.95,2.95,4.366865671641791,4.47,0.6485902253837587
TertiaryAmine,63,7.0,12.5,5.5,9.143650793650792,8.9,1.3977990654100736
Thiol,61,0.93,11.0,10.07,7.7340983606557385,7.88,1.9900163744685744
PhosphonicAcid,49,0.7,6.97,6.27,4.582653061224489,5.84,2.354472752201217
Phosphate,45,0.6,10.69,10.09,4.904,5.74,3.148496925342137
NHydroxylamine,23,7.37,10.66,3.29,9.31608695652174,9.17,0.8072429682752694
Imidazole,21,7.02,8.7,1.6799999999999997,7.692857142857143,7.63,0.5685331406108082
ImidazoleLike,13,7.06,11.58,4.5200000000000005,8.173846153846155,7.22,1.308989853998045
SulfonicAcid,12,0.33,3.81,3.48,2.1366666666666667,1.865,1.0247709771239404
